,Summary,Text
25,"The Saudi-led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel-held capital Sanaa, UN officials said. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi-led coalition has been involved in Yemen's civil war backing the Yemeni government against the Houthi rebels.","The Saudi-led coalition fighting in Yemen is obstructing deliveries of jet fuel to UN planes bringing desperately-needed humanitarian aid to the rebel-held capital Sanaa, a UN official said Tuesday.Auke Lootsma, the country director of the UN Development Program, also reported an outbreak of meningitis in Yemen, compounding the cholera epidemic and the risk of famine in the world?s worst humanitarian crisis.The United Nations operates two humanitarian flights into Sanaa from Amman and Djibouti, but there is no jet fuel available in the Yemeni capital for the plane to make the return trip.?We have difficulties obtaining permission from the coalition and from the government of Yemen to transport this jet fuel to Sanaa to facilitate these flights,? Lootsma, the country director for the UN Development Program, told reporters by video-link from Sanaa.Asked why the jet fuel deliveries were blocked, Lootsma said: ?It?s a good question. I don?t have an answer.?The fuel must be delivered to Sanaa from the port of Aden, which is controlled by the Saudi-backed Yemeni government.The Saudi-led coalition has repeatedly been accused of blocking aid to Yemen, one of the Arab world?s poorest countries, which has been brought to its knees since the military campaign began in March 2015.Yemen?s health system has collapsed during the war pitting coalition forces backing the internationally recognized Yemeni government against Iran-backed Shiite Huthi rebels.Describing the situation as ?very bleak,? the UN official said there were ?several? new cases of meningitis detected in Yemen but he could not provide details.Aid efforts are also hampered by delays and refusals of visas, by the Yemeni government and by the rebels in control of Sanaa, he added.Lootsma said he saw ?no end in sight? for the war that has left thousands dead, seven million people at risk of famine and more than 400,000 ill from cholera."
26,"The US Air Force on Wednesday successfully launched an unarmed intercontinental ballistic missile from California, the fourth such test this year. The test will show the readiness and effectiveness of the weapon system, officials said. The launch comes amid concerns over North Korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the US. ","The US Air Force successfully launched an unarmed intercontinental ballistic missile from California, the fourth such test this year.The 30th Space Wing says the Minuteman 3 missile launched at 2:10 a.m. Wednesday from Vandenberg Air Force Base, about 130 miles (209 kilometers) northwest of Los Angeles.An Air Force statement said the test would show the effectiveness, readiness, and accuracy of the weapon system.Minuteman missiles are regularly tested with launches from Vandenberg that send unarmed re-entry vehicles 4,200 miles (6,800 kilometers) across the Pacific to a target area at Kwajalein Atoll.However, the latest U.S. launches come amid tensions with North Korea as that nation develops its own ICBMs.Flight data on North Korea?s most recent test, conducted Friday, showed that a broad part of the mainland United States, including Los Angeles and Chicago, is now in range of Pyongyang?s weapons, according to analysts.In response, the U.S. Air Force flew two B-1 bombers over the Korean Peninsula on Sunday in a show of force. The U.S. also said it conducted a successful test of a missile defense system located in Alaska.Previous Minuteman ICBM launches this year were conducted in February, April and May. That month, the Air Force also conducted a test of a missile interceptor launched from Vandenberg. The interceptor destroyed a mock warhead over the Pacific."
27,"The remains of a German hiker, who disappeared while climbing in the Swiss Alps 30 years ago, have been found embedded in a glacier, police officials said. The remains were found by two people climbing the Lagginhorn mountain, they added. Recently, bodies of a Swiss couple who went missing 75 years ago were found perfectly preserved in the Alps.","The remains of a German hiker who disappeared while climbing in the Swiss Alps 30 years ago has been found embedded in a glacier, police said on Wednesday. The find was made on July 25 by two people climbing the Lagginhorn mountain, in southern Switzerland, police said in a statement. A few hundred metres before reaching the peak, the hikers spotted ?a hand and two shoes?, area police said. Extracting the remains that day was impossible because of poor weather, but rescue workers arrived by helicopter the following day, removed the remains from the ice and brought them to a hospital in the capital Bern for identification. Test have confirmed the climber was a German national born in 1943 who disappeared on August 11, 1987. The discovery came just two days after a Swiss couple who disappeared while walking in the Alps in 1942 were found in a receding glacier."
28,"Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai, following kidney complications and dehydration. The doctors treating the 94-year-old actor have said that he is stable and currently recuperating in the general ward while adding, ""There is no cause for concern."" The veteran actor had also been hospitalised twice last year due to medical reasons.","Yesteryear superstar Dilip Kumar was rushed to Lilavati Hospital on Wednesday owing to kidney complications and dehydration.Doctors said he is stable and currently recuperating in the general ward. ?There is no cause of concern.??The major reason of his admission was dehydration, which simultaneously impacts other organs as well,? doctors at the hospital said.The 94-year-old Bollywood actor has been facing medical complications in recent years. Last year, he was hospitalised in April due to fever and nausea, and in December to treat a swelling in his right leg.Kumar has acted in over 65 films in his career spanning over six decades and is known for his iconic roles in movies like Devdas (1955), Naya Daur (1957), Mughal-e-Azam (1960), Ganga Jamuna (1961), Kranti (1981), and Karma (1986).He is also honored with Padma Bhushan in 1991, Dadasaheb Phalke Award in 1994 and India?s second highest civilian award, Padma Vibhushan, in 2015. The Government of Pakistan has honoured him with its highest civilian honour, the Nishan-e-Imtiaz, in 1997.Follow @htshowbiz for more"
29,"The Mangrove Society of India has listed Mumbai's two mangrove wetlands? Airoli and Vikhroli, among twelve unique mangrove forests in India. The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism destinations, officials said. ""Mangrove forests can sequester carbon 10 times more than tropical forests,"" they added."," The Mangrove Society of India (MSI) has put two of Mumbai region?s mangroves   ? Airoli and Vikhroli wetlands ? among 12 unique mangrove forests in the country.Mangrove forests grow in creeks, estuaries, bays and lagoons and in inter-tidal areas ? area between the high tide and the low tide. Their ecosystem is believed to have evolved around 114 million years back in tropical and subtropical regions and India  has 3% (4,740 sq km) of the world?s mangrove cover. The unique mangroves located along India?s 7,516-km coastline are in Gujarat, Maharashtra, Goa, Karnataka, Kerala, Odisha, Tamil Nadu, Andhra Pradesh and Andaman and Nicobar Islands. The world?s largest mangrove forests in Sunderbans, West Bengal, are also featured in the list. The list was released by the MSI and the Goa state biodiversity board  at the National Mangrove Conference in Dona Paula, Goa last week. Maharashtra is the only state to have a dedicated cell protecting its mangrove cover.?Mangroves are under threat from developmental projects and we are failing to understand the value of safeguarding the coastline from disasters and their economic value when it comes to tourism. We do not have the concept of preservation in India,? said Arvind Untawale, secretary, MSI. ?The idea behind selecting these 12 locations is to enhance conservation and protection of different mangrove species, the biodiversity and establish them as international tourism destinations.?He added that tigers in Sunderbans, saltwater crocodiles in Odisha, and birds, fish, crabs, and the unique flora present in this ecosystem are not getting enough attention from the Centre. ?There is great potential for adventure, research, information, conservation and management aspects, which the tourism sector needs to focus upon,? said Untawale.Mangroves in?Vikhroli. 
							(HT File)
						?What most people are unaware of is that India is home to a maximum number of flora and fauna species in the world,? said Dr K Kathiresan, former dean and director, Annamalai University and from the Centre of Advanced Study in Marine Biology. He added that of the total 4,060 species living in India?s mangroves, 969 are floral species, accounting for 24% of the biodiversity and the rest 3,091 are faunal species. ?Mangrove forests can sequester carbon 10 times more than tropical forests and carbon storage is four times more than tropical, temperate or boreal forests (coniferous forests),? said Dr Kathiresan.Experts said the tourism potential of mangroves in India, unlike many other countries in the world, is underexplored. ?We have to develop such spots for people to realise its importance. Tourism spots will not only help boost revenue but even their protection,? said N Vasudevan, additional principal chief conservator of forest, Maharashtra state mangrove cell. SAVING THE NATURAL COAST GUARDS While India has 3% of the world?s mangrove cover, environmentalists believe they are under threat from developmental projects. Here are the 12 unique mangrove forest locations selected for better conservation:Gulf of Kutch, GujaratEstablished in 1980 and 1982, the Gulf of Kutch Marine National Park (163 sq km) and Marine Sanctuary (295 sq km) are mangrove forests spread across 42 islands with rich marine and mangrove biodiversity. They are accessible from Jamnagar by boats that travel 10km to reach these areas. Vikhroli mangroves, MumbaiIt is one of the largest (2000ha) private mangrove forests in the country. More than 16 mangrove species, 82 butterfly species, 208 bird species, 13 crab species, 7 prawn species, 20 fish species and mammals like jackals, wild boards, mongoose, otters and leopards can be spotted at the mangrove ecosystem.Mangrove and Marine Biodiversity Centre, Airoli, Navi MumbaiThe centre, a pet project of the Maharashtra state mangrove cell, was completed and opened for public earlier this year. It is surrounded by a flamingo sanctuary that is spread over 1,690 ha, which includes 896 ha of mangroves and 794 ha of land adjacent to a water body, to safeguard more than 50,000 flamingos visiting every year.Achra, Maharashtra The mangroves near the fishing village of Achra are considered sacred.
							(HT?FILE)
						Located near the fishing village of Achra, almost 30km away from Kankavli on the Mumbai-Goa highway, this is the most dense mangrove spot in the Konkan region. Here, the mangroves are considered sacred as the entire area is owned by Rameshwar temple trust. Dr Salim Ali Mangrove Sanctuary, GoaEstablished in 1982, a 250-hectare mangrove patch at Chodan, located very close to Panjim, is home to 16 mangrove species, more than 100 birds and large intertidal fauna. The area has boat facilities, walkways and observation towers for a closer look at the salt-tolerant plants.Kali Nadi, Karnataka With the Western Ghats in the background, the lush green mangrove cover along the Devbagh creek of the Kali Nadi estuary near Karwar, Karnataka, is considered the most sacred mangrove forests of the state. Kannur, Kerala Situated along the famous Kerala backwaters and not very far from Kochi, large portions (587 ha) of the Kannur mangrove forest were recently declared as reserved forests (highest protection status) after a significant mangrove cover was lost owing to developmental projects. However, several parts were restored by the forest department with man-made mangrove patches that cater to both marine and intertidal biodiversity.Pichavaram and Muthupet, Tamil NaduTwo mangrove spots along the Tamil Nadu coastline ? Pichavaran near Chidambaram and Muthupet near Pulicat Lake ? are fed with Vellary estuary waters and are rich in mangrove biodiversity. The forests are famous for natural genetic cross breeding of the Rhizophora mangrove species. Coringa and Krishna Wildlife Sanctuaries, Andhra PradeshThe Coringa Wildlife Sanctuary, situated on the mouth of the Godavari estuarine delta, has a mangrove expanse spread across 235.7 sq km. It was established in 1978 and is accessible by road and by boats from Vishakhapatnam. Established in 1999, the Krishna Wildlife Sanctuary in Guntur is spread across 195 sq km and located at the mouth of Krishna estuary.The Mahanadi estuarine in Odisha.
							(HT?FILE)
						Bhitarkanika Wildlife Sanctuary and Kendrapada Mangroves, OdishaThe Bhitarkanika Wildlife Sanctuary, along the Mahanadi estuarine, is known to have the highest mangrove biodiversity in Asia and is famous for the estuarine crocodiles that are 22-feet-long. Spread across 145 sq km, the sanctuary was established in 1988. The Kendrapada mangroves have mangrove area of 133 sq km.Sunderbans Biosphere Reserve, West BengalSpread across a massive 1,40,000 ha land along the Ganges delta, the Sunderbans are the largest mangrove forests in the world between Bangladesh and West Bengal. It was declared a UNESCO World Heritage site in 1987. The swampy mangroves are also home to chitals, crocodiles, monitor lizards and several birds.Andaman and Nicobar IslandsTourists around teh mangroves in Andaman and Nicobar Islands.
							(HT?FILE)
						Established between 1983 and 1986, two national parks ? Mahatma Gandhi Marine National Park, Wandoor, south Andaman (281.5 sq km mangrove cover) and Rani Jhansi Marine National Park (256 sq km mangroves) ? have several islands with lush green mangrove cover and corals. Both locations are almost 30 km away from Port Blair. "
30,"Jammu and Kashmir Police have approached the Pakistan High Commission asking them to claim the body of Lashkar-e-Taiba commander Abu Dujana, who was killed by security forces on Tuesday. Notably, this is the first time the authorities have approached the High Commission asking them to claim the body of any Pakistani national killed in an anti-militancy operation in the state.","Jammu and Kashmir police approached the Pakistan high commission in Delhi and asked them to claim the body of Lashkar-e-Taiba (LeT) divisional commander Abu Dujana, killed by the security forces on Tuesday.Munir Khan, Inspector General of Police (IGP) Kashmir told reporters on Tuesday that Pakistan high commission has been approached to claim the body of Dujana, who belonged to Gilgit-Baltistan area in Pakistan-administered part of Kashmir.This is for the first time the authorities have approached Pakistan high commission asking them to claim the body of any Pakistani national killed in anti-militancy operations in Jammu and Kashmir.?If they don?t claim his body, we will give him a proper burial,? the IGP said, adding that authorities wished Dujana?s parents should see their son before burial and for that reason the Commission had been approached.Police refused to hand over Dujana?s body to the civilians for burial. The senior police officer said ?there was no reason to hand over the body of somebody to locals who did not belong to the Kashmir Valley?.Meanwhile, hundreds of mourners attended the burial of the other LeT militant Arif Lalihaari killed on Tuesday with Abu Dujana in Hakripora village.Arif was buried in his native Lalihaar village of Pulwama districton Tuesday evening."
31,"Abu Ismail, mastermind of the Amarnath Yatra attack, will reportedly replace Abu Dujana as the Kashmir division chief of Lashkar-e-Taiba (LeT). Dujana was killed by the security forces on Tuesday after a seven-hour gunfight in south Kashmir's Pulwama district. Notably, eight pilgrims were killed and 18 were injured in the Amarnath Yatra attack last month. ","Slain Lashkar-e-Taiba (LeT) commander Abu Dujana will be replaced by Abu Ismail. Ismail will be the new Kashmir division chief of LeT after Dujana was killed by the security forces on Tuesday after a seven-hour gunfight in south Kashmir's Pulwama district. LeT commander Abu Ismail, a Pakistani national, was the mastermind of the deadly attack on Amarnath Yatra in which seven pilgrims, including six women, were killed and 19 were injured. Proactive operations have been launched, mainly in south Kashmir, to track down Ismail as investigations including communication intercepts have pointed out to his involvement in the attack on Amarnath pilgrims.Attack in Anantnag appears to be a reprisal for killing of several Lashkar militants including Bashir Lashkari in an encounter with security forces earlier this month. WHO WAS ABU DUJANA: (With inputs from Jitendra Bahadur Singh) Also read:Abu Dujana encounter: Jilted lover turned informer led security forces to LeT commander Top Lashkar-e-Taiba terrorist Abu Dujana killed in Pulwama encounter"
32,"Explaining his frequent visits to golf clubs, US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a 'real dump', according to reports. Notably, the White House is the most expensive house in the US and is worth almost $400 million. ","US President Donald Trump has called the White House a ?real dump?, and said that he preferred staying at his own properties rather than at the executive mansion, a media report said.The White House did not immediately respond to a request for comment about the account, which appeared on the website Golf.com. The hotelier-turned-POTUS reportedly told members of his Trump National Golf Course in Bedminster, New Jersey, that he preferred staying at his own properties rather than at 1600 Pennsylvania Ave NW, because the executive mansion is ?a real dump?, the Washington Post reported, citing the article on Golf.com as saying.Trump, in a May interview with Time magazine, had praised the White House for its ?beautiful kitchen?, ?amazing? phone system and ?incredible? historical furniture. ?People have no idea the beauty of the White House. The real beauty of the White House,? Trump earlier said.Meanwhile, taking aim at the US President, former first daughter Chelsea Clinton, who spent most of her teen years as a White House resident spoke out in support of the White House staff, thanking the ?ushers, butlers, maids, chefs, florists,? etc, for all the hard work they do.Representative Dina Titus, a Democrat, also urged Trump to take his family and move out of the White House if he was unhappy with conditions.Trump spent a good deal of time away from the White House, including 21 of his first 26 weekends, according to CNN count, mostly at his luxury Mar-a-Lago resort in Palm Beach, Florida."
33,"A self-styled email prankster, known as @SINON_REBORN on Twitter, has fooled recently-fired White House Communications Director Anthony Scaramucci thrice. The prankster fooled Scaramucci by posing as recently-fired Chief of Staff Reince Priebus, as a Russian envoy and finally as one of his friends. The prankster said he targeted Scaramucci because he had used mental health issues as a ""put down"".","A suspected British prankster appears to have conned White House officials including Anthony Scaramucci into replying to him after pretending in email correspondence to be several different members of the Trump team.The man, who goes by the Twitter handle @SINON_REBORN, posed as Jared Kushner well enough to convince homeland security adviser Tom Bossert to reply to him, according to CNN. Bossert included his personal email address in the exchange.Named director of communications after having been denied a White House role earlier, the New York financier and Republican fundraiser promptly threatened to fire everyone in his team over leaks. He also staged a combative and contradictory briefing room debut and talkshow tour; sought to bat away questions about suspiciously liberal pronouncements in his past and support for Trump?s Republican enemies; deleted tweets; warred openly with the former chief of staff, Reince Priebus, and seemingly forced him out; compared the struggle to take healthcare away from millions of Americans to Lincoln?s battle against slavery; poured obscene invective about leakers, Priebus and Steve Bannon down the phone to a New Yorker reporter; missed the birth of his son; saw his wife file for divorce; and was asked to resign.Trump?s first national security adviser ? one of four generals the president has employed ? resigned after it was revealed he misled Vice-President Mike Pence over his contacts with Russians during the election campaign. It was later reported that Yates had warned the White House Flynn was vulnerable to Russian blackmail.The most shocking firing of them all. Trump sacked his FBI director, by messenger rather than in person, as congressional and justice department investigations into links between Trump aides and Russia gathered pace. Lest anyone retain any doubt about why Trump pressed the big red button, he told NBC in a primetime interview the firing was tied to ?this Russia thing?. The reverberations will be felt for some time yet.The long-suffering but loyal surrogate for the president handed in his resignationin response to Scaramucci?s appointment. A Republican insider and Priebus ally, he never settled into the press secretary role after an infamous debut in which he angrily insisted Trump?s fantastic version of crowd sizes at the inauguration were true. Achieving by way of Melissa McCarthy?s lethal Saturday Night Live impression a somewhat dubious celebrity, his days at the White House were long rumoured to be numbered. His departure on a point of principle having seemingly been justified only 10 days later, he may now claim a sort of hollow vindication.The former Republican National Committee chair stayed loyal ? at least in public ? to Trump through Friday, when he was told his time was up. He stayed loyal after handing in his resignation too, rhapsodising about the president and his mission in interviews with CNN and, of course, Fox News. But it seemed Priebus?s card had alway been marked, less over his initial blocking of Scaramucci, which enraged the Mooch, or by his closeness to the House speaker, Paul Ryan, than by his private advice to Trump to quit the presidential race after 8 October, when the infamous Access Hollywood ?Gropegate? tape was published. The Washington Post reported that Priebus was thus never considered a member of the ?Oct 8th coalition?, a name for the inner cabal of Trumpites who have never wavered, however low their boss?s reputation has sunk.The man also fooled Scaramucci, the White House communications director who was fired on Monday, by pretending to be Reince Priebus, the former Trump administration chief of staff with whom he was believed to be in open warfare.In a series of emails, the man posing as Priebus baited Scaramucci, accusing him of being ?breathtakingly hypocritical? and saying ?at no stage have you acted in a way that is remotely classy?.Scaramucci responded: ?You know what you did. We all do. Even today. But rest assured we were prepared. A Man would apologize.?The heated exchange continued, with the prankster writing: ?I can?t believe you are questioning my ethics! The so called ?Mooch?, who can?t even manage his first week in the White House without leaving upset in his wake. I have nothing to apologize for.?Scaramucci replied: ?Read Shakespeare. Particularly Othello. You are right there. My family is fine by the way and will thrive. I know what you did. No more replies from me.? The White House has confirmed it is looking into the matter. ?We take all cyber related issues very seriously and are looking into these incidents further,? press secretary Sarah Huckabee Sanders told CNN.Reince (me) giving @Scaramucci something to think about. He never replied haha pic.twitter.com/hutjACmogRAn excerpt of what I emailed to @Scaramucci whilst playing the part of Jon Huntsman Jr. Apparently this didn't seem out of the ordinary?! ?? pic.twitter.com/6INHJi3KCDThe man, who described himself as a ?lazy anarchist? on his Twitter profile, told CNN that his actions were meant to be ?humorous? not malicious.?I?m not trying to get the keys to the vault or anything like that.?He has previously convinced Scaramucci that he was the ambassador to Russia-designate Jon Hunstman and tricked Hunstman himself into believing he was the president?s son Eric Trump. He also fleetingly convinced Eric Trump he was his brother, Donald Jr. "
34,"A UK-based doctor, Manish Shah, has been charged with 118 sexual offences, the Metropolitan Police said on Wednesday. Shah has been accused of 65 counts of assault by penetration and 52 allegations of sexual assault, police officials added. He has also been charged with one count of sexual assault on a child under 13.","A GP who practised in east London has been charged with 118 sexual offences. Manish Shah, of Brunel Close in Romford, is accused of 65 counts of assault by penetration and 52 allegations of sexual assault, the Metropolitan police said. The 47-year-old is also charged with one count of sexual assault on a child under 13. The offences were alleged to have occurred at a GP practice between June 2004 and July 2013 and relate to 54 victims.The charges announced on Wednesday follow a long-running investigation into Shah. He has been bailed several times, having first been arrested in 2013.He is due to appear at Barkingside magistrates court on Thursday 31 August. Shah is registered as a doctor working with the national health service. The police investigation began over four years ago, after claims of sexual assault were made to detectives, and uncovered a series of allegations concerning alleged sexual offences.Specialist detectives from Scotland Yard?s sexual abuse command have been involved in investigating the claims. The decision to bring a series of criminal charges against Shah was authorised by the Crown Prosecution Service.The NHS has set up a dedicated number for any individuals who may have concerns or questions on 0800 011 4253."
35,"US President Donald Trump's campaign could not have colluded with Russia because the team was too dysfunctional and disorganised to coordinate with a foreign government, the President's son-in-law and senior adviser Jared Kushner has claimed. Notably, Kushner had acknowledged four meetings with Russians during and after Trump's presidential bid and insisted that he had ""nothing to hide"". ","President Donald Trump?s son-in-law says the Trump campaign couldn?t have colluded with Russia because the team was too dysfunctional and disorganised to coordinate with a foreign government.Jared Kushner, a senior adviser to the president, made the comment Monday during a closed-door session with congressional interns.A Democratic congressional aide says Kushner was responding to a question about Special Counsel Robert Mueller?s investigation into whether the Trump campaign colluded with Moscow.ForeignPolicy.com first reported Kushner?s remarks. The aide was knowledgeable of the meeting and confirmed the accuracy of the comments.Last week, Kushner met privately at the Capitol with members of the Senate and House intelligence committees.He acknowledged four meetings with Russians during and after Trump?s victorious White House bid and insisted that he had ?nothing to hide.?"
36,"A woman lawmaker of Pakistan Tehreek-e-Insaf (PTI) party, Ayesha Gulalai, has accused party leader Imran Khan of harassing women leaders in the party and sending them obscene text messages. ""My integrity matters to me the most and I cannot compromise when it comes to my honour and dignity,"" Gulalai said announcing her resignation from the party. ","A woman parliamentarian of Imran Khan?s Pakistan Tehreek-e-Insaf (PTI) has stirred up a major row by accusing the cricketer-turned-politician of sending her ?obscene? text messages and harassing women leaders of the party.Ayesha Gulalai, elected to the National Assembly in 2013 from a reserved seat for women in the tribal areas bordering Afghanistan, also announced her decision to quit the PTI because she could not compromise on her honour and dignity.Addressing a news conference in Islamabad on Tuesday, Gulalai said the ?honour? of women in the PTI is not safe because of 64-year-old Khan, whom she called a ?fake Pathan?. Gulalai, who hails from the conservative South Waziristan tribal region and is the sister of leading squash player Maria Toorpakai, said Khan is a ?characterless person? who considers himself an angel but his conduct is ?highly indecent?. There was no response to the allegations from Khan though PTI spokesman Fawad Chaudhry dismissed Gulalai?s allegations and claimed she had ?sold her soul? for money.The lawmaker said she had received numerous text messages from Khan, and the first one was sent from his Blackberry in October 2013. She declined to read out the messages but asked journalists to contact the telecom authority in this context. She urged the Supreme Court to take notice of the matter for the sake of the honour of women members of the PTI as there is speculation that Khan might one day become the prime minister. Gulalai said her decision to quit the PTI had nothing to do with a case regarding Khan?s assets that is being heard by the Supreme Court. ?The criterion for awarding party tickets is entirely different in the PTI,? she said.She said she had the courage to come out against Khan and his clan as she is a brave Pathan and honour was more important to her. The lawmaker went on to say that Khan was more impressed by Western culture and wanted to replicate it in Pakistan.?Their change is confined to social media while workers like me work on the ground, whom they call inferior workers. When I used to attend meetings, Imran Khan gave tips on how to ridicule rivals and target them,? she said.Gulalai also accused the PTI government in Khyber-Pakhtunkhwa province of corruption and said chief minister Pervez Khattak was acting like a ?mafia boss?.She rejected reports that she was joining the PML-N party of former premier Nawaz Sharif but praised him for respecting women.  "
37,Harry Potter author JK Rowling has apologised for a series of tweets in which she falsely accused US President Donald Trump of refusing to shake the hand of a child in a wheelchair during an event last week. Rowling was slammed for not removing the tweets from her social media account after her comments were proved to be incorrect. ,"London, Aug 1 (PTI) Renowned Harry Potter author J K Rowling has apologised for wrongly accusing US President Donald Trump of refusing to shake the hand of a 3-year-old disabled child during an event. The 52-year-old British novelist, best known as the author of the Harry Potter fantasy series, said yesterday that she deleted her July 28 tweets after she was informed that they were ""not a full or accurate representation"" of what had happened at last Mondays health care event at the White House. Rowling came under fire for a series of now-deleted tweets in which she slammed Trump for seeming to ignore Montgomery Weers outstretched hand. ""How stunning, and how horrible, that Trump cannot bring himself to shake the hand of a small boy who only wanted to touch the president,"" the author had said. But Marjorie Kelly Weer, mother of Montgomery, said Rowlings interpretation of the clip was wrong. ""Re: my tweets about the small boy in a wheelchair whose proffered hand the president appeared to ignore in press footage. Multiple sources have informed me that that was not a full or accurate representation of their interaction,"" Rowling tweeted. ""I very clearly projected my own sensitivities around the issue of disabled people being overlooked or ignored onto the images I saw and if that caused any distress to that boy or his family, I apologise unreservedly,"" she wrote. Trump is said to have shaken the boys hand as the president entered the room, the BBC reported. ""If someone can please get a message to JK Rowling: Trump didnt snub my son & Monty wasnt even trying to shake his hand,"" Kelly wrote on Facebook. "
38,"Substantial presence of PM1, reportedly the most dangerous particulate matter, has been found in areas around Delhi's Lodhi Road, a study by System of Air Quality and Weather Forecasting And Research said. Its presence in the Central Delhi area may be attributed to the huge flow of vehicles since the particulate matter is a product of vehicular pollution, reports said. ","A recent study has found a substantial presence in the ultrafine particulate matter PM1, a dangerous pollutant, in Central Delhi.The PM 1 particle is 70 times finer than the thickness of a human hair, goes directly into the bloodstream and is potentially more dangerous than the more well known PM2.5 and PM10 pollutants. And no one knows how much of it is in the air we breathe.The Lodhi Road monitoring station of the System of Air Quality and Weather Forecasting And Research (SAFAR) under the Ministry of Earth Sciences has recorded the average volume of PM1 during summer, winter and the monsoon at about 46, 49 and 20 micrograms per cubic metres, respectively. The data from the year 2016 is collected in the only station that has the technology, says Gufran Beig, project director of SAFAR.The safe standards of PM1 have not been defined yet, in the absence of which its potentially harmful effects have not been documented. Globally, too, there might not be a standard but PM1 is considered the most dangerous among all particulate matter, particularly because of its size. It measures around 1 micron or less in diameter and can enter deep into the lungs and bloodstream.According to a Central Pollution Control Board 2010 study, small particulate matter can reach the alveolar region, causing heart ailments. These fine particles cover a large surface area, absorb toxic compounds such as heavy metals and organic compounds with high carbon content, the study said.These particles ? spewed primarily from vehicles, factories and construction sites ? are not dispersed and stay suspended in the air.But why is the air in Central Delhi flooded with these particulates??PM1 is a major product of vehicular combustion. Roads in and around the Lodhi Road area like other parts of Lutyens? Delhi see a huge flow of vehicles. This might be the reason behind the prevalence of this finer particulate matter. It also depends on where the station is located, the dispersion capacity, meteorological factors, among others,? Dr Dipankar Saha, additional director and head of the Air Laboratory at the CPCB told Hindustan Times."
39,The Ghaziabad Police has booked 14 people including 3 Congress workers for resorting to violence during protests in front of the Ala Hazrat Haj House on Monday. Nearly 500 protesters had pelted stones at the police during the protest demanding that the facility be opened to pilgrims immediately. The facility has remained sealed since its inauguration last year.,"The Ghaziabad police arrested three persons and lodged an FIR under sections of the IPC and Criminal Law Amendment Act against them. Also, 14 persons were booked for causing damage to public property.The police have also named the involvement of 300-400 unidentified persons for inciting violence near ?Ala Hazrat Haj House? on Monday night.Those arrested include Naseem Khan, district president of Congress? minority cell and Puja Chaddha, the district president of Congress? women?s cell. Other Congress leaders have also been named in the FIR, in which the police alleged that 14 police personnel, including four sub-inspectors and a woman constable, were injured.?The FIR is lodged at Sahibabad police station and we have arrested three persons in this connection. Teams are on the lookout for other persons and trying to identify them through video footage,? Akash Tomar, superintendent of police (city), said.A large number of locals and Congress workers started gathering outside the Haj House near river Hindon from Monday afternoon, despite prohibitory orders in place in the district. The police also charged them under Section 188 of the IPC, which is applied only when prohibitory orders are violated.?Naseem Khan and Puja Chaddha are not traceable. We will protest against the police and the administration and will also hand them a memorandum about the lathi charge carried out by police on innocent people who were staging a peaceful dharna outside the Haj House. There were some miscreants who resorted to violence but they were outsiders,? said Harendra Kasana, district president of the Congress.For the last one week, since the Haj pilgrimage is on, locals have been demanding that the newly constructed Haj House, which was inaugurated by former UP chief minister Akhilesh Yadav in September 2016, be opened.However, the Haj House is caught up in litigation after three residents approached the National Green Tribunal and demanded its demolition, contending that the structure was built on land chunks of the Hindon floodplains.The tribunal on September 2, 2016, had said in its order, ?We make it clear that any steps or construction taken in the meanwhile shall be subject to the orders of the Tribunal passed in this Application (sic).?Earlier on July 27, Hindustan Times had published a report listing the reasons for closure of the facility. In response, UP minister Mohsin Raza had said that the decision not to make the Haj House operational was taken by the previous government (led by former Akhilesh Yadav) and the present government is continuing the same.?The decision was already taken by the previous government as the matter was with NGT even before the present government assumed office. The decision was taken to protect the environment and the river ecology. The influx of thousands of pilgrims is bound to create garbage issues in the river zone. This decision was taken earlier to avoid being in contempt of court,? Raza had said.In the meantime, the district administration has deployed police and provincial armed constabulary personnel outside the Haj House and are keeping a tight vigil on activities that may lead to an escalation of law and order."
